"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore"
445,16927,"PUF18","dccs",6.90356,5,2.15997,900,"FA18UCpost","dccs",3.97436,4,2.26832
444,16994,"PUF18","dccs",2.4359,2,3.76423,911,"FA18UCpost","dccs",6.50237,4,2.1434
442,17026,"PUF18","dccs",8.15595,5,3.54057,866,"FA18UCpost","dccs",8.40273,5,3.40273
440,17010,"PUF18","dccs",8.07803,5,3.33444,882,"FA18UCpost","dccs",7.7845,5,3.04092
439,16948,"PUF18","dccs",7.39256,5,2.77717,854,"FA18UCpost","dccs",8.23427,5,3.23427
437,16947,"PUF18","dccs",7.31009,4,3.06009,855,"FA18UCpost","dccs",7.70068,4,3.2135
436,16947,"PUF18","dccs",3.07692,3,5,855,"FA18UCpost","dccs",7.70068,4,3.2135
435,16945,"PUF18","dccs",2.30769,2,1.48283,857,"FA18UCpost","dccs",2.4359,2,1.01539
434,16946,"PUF18","dccs",3.46154,3,2.28795,856,"FA18UCpost","dccs",6.28625,4,1.92727
433,16950,"PUF18","dccs",6.71632,5,1.71632,852,"FA18UCpost","dccs",8.09326,5,3.22147
432,16930,"PUF18","dccs",7.26873,5,2.65334,897,"FA18UCpost","dccs",7.64932,5,2.90573
431,16936,"PUF18","dccs",7.95597,5,2.95597,891,"FA18UCpost","dccs",8.87561,5,3.87561
430,16937,"PUF18","dccs",6.34867,4,1.9897,890,"FA18UCpost","dccs",6.9056,4,2.41843
429,16938,"PUF18","dccs",7.98816,5,3.22626,889,"FA18UCpost","dccs",6.94637,5,2.07458
428,16938,"PUF18","dccs",7.10667,5,2.49128,889,"FA18UCpost","dccs",6.94637,5,2.07458
426,16940,"PUF18","dccs",7.56971,5,2.94471,888,"FA18UCpost","dccs",6.91937,5,1.91937
425,16941,"PUF18","dccs",7.5841,5,2.96872,887,"FA18UCpost","dccs",8.42936,5,3.68577
424,16949,"PUF18","dccs",3.71795,4,4.3537,853,"FA18UCpost","dccs",7.24115,5,2.36615
423,16951,"PUF18","dccs",6.43543,4,2.07646,851,"FA18UCpost","dccs",2.05128,2,2.13564
423,16951,"PUF18","dccs",6.43543,4,2.07646,850,"FA18UCpost","dccs",6.40866,5,1.66507
422,16952,"PUF18","dccs",3.58974,4,5,849,"FA18UCpost","dccs",3.58974,4,2.82184
421,16953,"PUF18","dccs",7.92301,5,3.05122,848,"FA18UCpost","dccs",6.35556,5,1.61197
420,16954,"PUF18","dccs",7.48338,5,2.73979,847,"FA18UCpost","dccs",6.88332,5,2.01152
419,16955,"PUF18","dccs",7.15408,4,2.6669,846,"FA18UCpost","dccs",7.17263,5,2.55725
418,16956,"PUF18","dccs",3.84615,4,1.49792,845,"FA18UCpost","dccs",5.64832,4,1.27332
417,16957,"PUF18","dccs",7.9419,5,2.9419,844,"FA18UCpost","dccs",7.58508,5,2.73213
415,16959,"PUF18","dccs",2.375,2,2.80202,843,"FA18UCpost","dccs",7.40802,5,2.66443
414,16960,"PUF18","dccs",7.23297,4,2.98297,842,"FA18UCpost","dccs",7.60126,4,3.11408
413,16996,"PUF18","dccs",3.07692,3,5,909,"FA18UCpost","dccs",5.87283,4,1.51385
412,16998,"PUF18","dccs",3.58974,4,2.62164,908,"FA18UCpost","dccs",6.899,4,2.41182
411,17043,"PUF18","dccs",6.93511,5,2.06332,832,"FA18UCpost","dccs",7.08326,5,2.21146
410,17051,"PUF18","dccs",6.75305,4,2.52228,825,"FA18UCpost","dccs",7.05491,5,2.05491
409,17058,"PUF18","dccs",7.30793,5,2.43613,803,"FA18UCpost","dccs",7.14826,5,2.14826
408,17060,"PUF18","dccs",2.17949,2,2.60116,801,"FA18UCpost","dccs",7.03951,4,2.68054
407,17059,"PUF18","dccs",3.84615,4,3.39581,802,"FA18UCpost","dccs",8.69378,5,3.95019
406,17060,"PUF18","dccs",2.17949,2,2.60116,801,"FA18UCpost","dccs",7.03951,4,2.68054
405,17061,"PUF18","dccs",2.05128,2,3.46966,800,"FA18UCpost","dccs",2.05128,2,2.85393
404,17062,"PUF18","dccs",6.31456,4,1.95559,799,"FA18UCpost","dccs",7.03702,4,2.67805
404,17062,"PUF18","dccs",6.31456,4,1.95559,798,"FA18UCpost","dccs",6.50016,5,1.75657
403,17063,"PUF18","dccs",2.05128,2,3.63499,797,"FA18UCpost","dccs",7.60429,4,3.11712
402,17064,"PUF18","dccs",2.5,3,3.14774,796,"FA18UCpost","dccs",8.8153,5,3.94351
401,17065,"PUF18","dccs",7.82751,5,3.08392,795,"FA18UCpost","dccs",7.93071,5,2.93071
400,17066,"PUF18","dccs",3.46154,3,1.21492,794,"FA18UCpost","dccs",3.33333,3,0
399,17067,"PUF18","dccs",2.5,3,3.72766,793,"FA18UCpost","dccs",3.97436,4,2.98154
398,17067,"PUF18","dccs",3.625,4,2.82184,793,"FA18UCpost","dccs",3.97436,4,2.98154
397,17068,"PUF18","dccs",7.53218,5,2.9168,792,"FA18UCpost","dccs",8.24267,5,3.62729
396,17069,"PUF18","dccs",5.91966,4,1.6604,791,"FA18UCpost","dccs",3.84615,4,2.38127
395,17069,"PUF18","dccs",2.125,2,1.54091,791,"FA18UCpost","dccs",3.84615,4,2.38127
394,17070,"PUF18","dccs",6.86398,4,2.505,790,"FA18UCpost","dccs",7.23209,4,2.74491
393,17071,"PUF18","dccs",7.51909,4,3.16012,789,"FA18UCpost","dccs",7.73659,5,2.993
392,17072,"PUF18","dccs",6.79285,4,2.30567,788,"FA18UCpost","dccs",7.27717,5,2.77717
391,17073,"PUF18","dccs",6.66977,4,2.18259,787,"FA18UCpost","dccs",7.30554,5,2.56195
390,17074,"PUF18","dccs",7.01519,5,2.1434,786,"FA18UCpost","dccs",7.20543,5,2.46184
389,17075,"PUF18","dccs",6.58921,4,2.10203,785,"FA18UCpost","dccs",5,5,0
388,17076,"PUF18","dccs",2.05128,2,2.44951,784,"FA18UCpost","dccs",3.33333,3,2.75518
387,17077,"PUF18","dccs",3.66667,4,2.36185,783,"FA18UCpost","dccs",6.53539,4,2.30462
386,17083,"PUF18","dccs",7.69332,5,3.07793,765,"FA18UCpost","dccs",7.56551,5,2.69051
385,17083,"PUF18","dccs",6.94048,5,2.34048,765,"FA18UCpost","dccs",7.56551,5,2.69051
384,17084,"PUF18","dccs",0,5,0,764,"FA18UCpost","dccs",7.89662,5,3.02482
383,17084,"PUF18","dccs",6.9782,4,2.61922,764,"FA18UCpost","dccs",7.89662,5,3.02482
382,17085,"PUF18","dccs",7.59122,5,2.97583,763,"FA18UCpost","dccs",7.63283,5,2.88924
381,17085,"PUF18","dccs",8.67338,5,4.00671,763,"FA18UCpost","dccs",7.63283,5,2.88924
380,17086,"PUF18","dccs",7.43751,4,2.95033,762,"FA18UCpost","dccs",8.10169,5,3.3581
379,17087,"PUF18","dccs",6.78215,4,2.55138,761,"FA18UCpost","dccs",7.94079,5,3.06899
378,17087,"PUF18","dccs",3.04348,3,1.3147,761,"FA18UCpost","dccs",7.94079,5,3.06899
377,17088,"PUF18","dccs",6.55958,5,1.68778,760,"FA18UCpost","dccs",7.1278,5,2.25601
376,17089,"PUF18","dccs",7.49234,5,2.74875,759,"FA18UCpost","dccs",7.34921,4,2.86203
375,17089,"PUF18","dccs",6.77144,5,2.15606,759,"FA18UCpost","dccs",7.34921,4,2.86203
374,17090,"PUF18","dccs",7.90831,5,3.03652,758,"FA18UCpost","dccs",8.34862,5,3.47683
373,17091,"PUF18","dccs",6.99755,5,2.25396,757,"FA18UCpost","dccs",7.32684,5,2.58325
372,17092,"PUF18","dccs",4.48718,4,0,756,"FA18UCpost","dccs",6.579,5,1.96362
371,17093,"PUF18","dccs",9.36282,5,4.61923,755,"FA18UCpost","dccs",8.85831,5,4.11472
370,17094,"PUF18","dccs",8.12561,5,3.38202,754,"FA18UCpost","dccs",7.46049,5,2.7169
369,17095,"PUF18","dccs",7.05869,5,2.3151,753,"FA18UCpost","dccs",7.14544,4,2.65826
368,17096,"PUF18","dccs",3.20513,3,4.03438,752,"FA18UCpost","dccs",3.07692,3,3.20399
367,17097,"PUF18","dccs",7.47416,5,2.60236,751,"FA18UCpost","dccs",8.10045,5,3.10045
366,17098,"PUF18","dccs",7.59978,5,2.9844,750,"FA18UCpost","dccs",7.8053,5,2.9335
365,17099,"PUF18","dccs",6.88548,5,1.88548,749,"FA18UCpost","dccs",7.42435,5,2.55255
364,17100,"PUF18","dccs",6.42238,4,1.9352,748,"FA18UCpost","dccs",6.46196,4,2.10299
363,17132,"PUF18","dccs",7.57985,5,2.96446,823,"FA18UCpost","dccs",7.61798,5,2.74619
362,17133,"PUF18","dccs",7.32233,4,2.83515,822,"FA18UCpost","dccs",7.51039,5,2.7668
361,17134,"PUF18","dccs",8.60147,5,3.72968,821,"FA18UCpost","dccs",7.36754,4,3.26498
360,17135,"PUF18","dccs",6.93222,4,2.44504,820,"FA18UCpost","dccs",7.3079,5,2.56431
359,17136,"PUF18","dccs",2.4359,2,2.77978,819,"FA18UCpost","dccs",6.91333,4,2.42615
358,17137,"PUF18","dccs",6.75684,5,2.14146,818,"FA18UCpost","dccs",3.71795,4,0
357,17138,"PUF18","dccs",7.28657,4,2.79939,817,"FA18UCpost","dccs",8.54378,5,3.67198
356,17139,"PUF18","dccs",6.57455,4,2.47199,816,"FA18UCpost","dccs",6.35291,4,1.86573
355,17140,"PUF18","dccs",7.00605,5,2.00605,815,"FA18UCpost","dccs",8.01119,5,3.39581
354,17141,"PUF18","dccs",7.78238,5,2.78238,814,"FA18UCpost","dccs",6.63598,5,1.89239
353,17142,"PUF18","dccs",2.05128,2,3.21987,813,"FA18UCpost","dccs",6.84597,5,2.23058
352,17143,"PUF18","dccs",6.52704,4,2.29627,812,"FA18UCpost","dccs",7.6725,5,2.80071
351,17144,"PUF18","dccs",7.18259,5,2.18259,811,"FA18UCpost","dccs",6.34523,4,2.11446
350,17144,"PUF18","dccs",6.44322,5,1.69963,811,"FA18UCpost","dccs",6.34523,4,2.11446
349,17145,"PUF18","dccs",6.82426,5,1.82426,810,"FA18UCpost","dccs",3.84615,4,2.9016
348,17146,"PUF18","dccs",2.17949,2,3.4483,809,"FA18UCpost","dccs",2.125,2,0.149816
347,17147,"PUF18","dccs",7.20484,5,2.33305,808,"FA18UCpost","dccs",7.6519,5,3.03652
346,17149,"PUF18","dccs",3.84615,4,0.346104,807,"FA18UCpost","dccs",6.13827,4,1.65109
345,17150,"PUF18","dccs",7.67483,4,3.54983,806,"FA18UCpost","dccs",7.24881,4,2.76163
344,17150,"PUF18","dccs",5,5,0,806,"FA18UCpost","dccs",7.24881,4,2.76163
343,17151,"PUF18","dccs",8.5201,5,3.8951,805,"FA18UCpost","dccs",8.46723,5,3.72364
342,17156,"PUF18","dccs",2.5641,3,3.63306,782,"FA18UCpost","dccs",2.69231,3,1.65342
341,17157,"PUF18","dccs",7.11544,4,2.75647,781,"FA18UCpost","dccs",7.37154,5,2.37154
340,17157,"PUF18","dccs",0,4,0,781,"FA18UCpost","dccs",7.37154,5,2.37154
339,17158,"PUF18","dccs",7.8306,5,2.9588,780,"FA18UCpost","dccs",7.18674,4,2.95597
338,17159,"PUF18","dccs",6.83775,4,2.47878,779,"FA18UCpost","dccs",7.37701,5,2.76163
337,17160,"PUF18","dccs",2.17949,2,0.462495,778,"FA18UCpost","dccs",3.58974,4,2.24886
336,17161,"PUF18","dccs",2.17949,2,2.68178,777,"FA18UCpost","dccs",2.17949,2,3.06899
335,17162,"PUF18","dccs",5,5,0,776,"FA18UCpost","dccs",3.71795,4,1.93255
334,17162,"PUF18","dccs",3.46154,3,1.68857,776,"FA18UCpost","dccs",3.71795,4,1.93255
333,17163,"PUF18","dccs",3.71795,4,0,775,"FA18UCpost","dccs",6.84619,4,2.74363
332,17164,"PUF18","dccs",7.78629,5,2.78629,774,"FA18UCpost","dccs",7.30839,5,2.69301
330,17166,"PUF18","dccs",3.97436,4,2.57376,773,"FA18UCpost","dccs",5.96074,4,1.71074
329,17167,"PUF18","dccs",8.17777,5,3.43418,772,"FA18UCpost","dccs",6.81723,5,2.07364
328,17168,"PUF18","dccs",3.46154,3,2.51997,771,"FA18UCpost","dccs",7.505,5,2.505
327,17169,"PUF18","dccs",2.69231,3,1.18411,770,"FA18UCpost","dccs",6.12044,5,1.37044
326,17170,"PUF18","dccs",7.31498,5,2.57139,769,"FA18UCpost","dccs",7.39828,5,2.77328
324,17172,"PUF18","dccs",5,5,0,768,"FA18UCpost","dccs",7.6507,5,2.90711
323,17172,"PUF18","dccs",7.2774,4,2.79022,768,"FA18UCpost","dccs",7.6507,5,2.90711
322,17173,"PUF18","dccs",9.23077,4,5,767,"FA18UCpost","dccs",6.85114,5,2.35114
321,17174,"PUF18","dccs",3.52941,4,3.39927,766,"FA18UCpost","dccs",3.97436,4,2.78238
320,17174,"PUF18","dccs",3.71795,4,2.49128,766,"FA18UCpost","dccs",3.97436,4,2.78238
318,17344,"PUF18","dccs",7.73979,5,2.73979,747,"FA18UCpost","dccs",7.57613,5,2.57613
317,17343,"PUF18","dccs",6.97864,4,2.67309,745,"FA18UCpost","dccs",8.0779,5,3.46252
316,17343,"PUF18","dccs",8.0853,5,3.2135,745,"FA18UCpost","dccs",8.0779,5,3.46252
315,17345,"PUF18","dccs",7.79872,5,3.06899,746,"FA18UCpost","dccs",8.27968,5,3.27968
314,17345,"PUF18","dccs",8.0506,5,3.17881,746,"FA18UCpost","dccs",8.27968,5,3.27968
313,17346,"PUF18","dccs",7.50988,5,2.90988,744,"FA18UCpost","dccs",7.42911,5,2.68552
312,17346,"PUF18","dccs",7.96987,5,3.21987,744,"FA18UCpost","dccs",7.42911,5,2.68552
311,17347,"PUF18","dccs",2.82051,3,3.55354,743,"FA18UCpost","dccs",6.51353,4,2.28276
310,17347,"PUF18","dccs",8.22324,5,3.47324,743,"FA18UCpost","dccs",6.51353,4,2.28276
308,16770,"PUF18","dccs",8.30115,5,3.68577,1051,"FA18UCpost","dccs",3.81579,4,3.26498
307,16771,"PUF18","dccs",7.0958,5,2.35221,1050,"FA18UCpost","dccs",6.66845,4,2.61439
306,16772,"PUF18","dccs",8.29719,5,3.4254,1049,"FA18UCpost","dccs",3.15789,3,4.59807
305,16773,"PUF18","dccs",7.88364,5,3.14005,1048,"FA18UCpost","dccs",3.46154,3,2.48673
304,16774,"PUF18","dccs",6.99032,4,2.63135,1047,"FA18UCpost","dccs",7.41073,5,2.66073
303,16775,"PUF18","dccs",7.52575,5,2.52575,1046,"FA18UCpost","dccs",6.84395,5,2.22856
302,16776,"PUF18","dccs",9.13407,5,4.13407,1045,"FA18UCpost","dccs",3.20513,3,3.12931
302,16776,"PUF18","dccs",9.13407,5,4.13407,1044,"FA18UCpost","dccs",8.70141,5,4.08603
301,16777,"PUF18","dccs",7.26471,4,2.90573,1043,"FA18UCpost","dccs",7.73372,5,2.99013
300,16778,"PUF18","dccs",3.71795,4,2.23666,1042,"FA18UCpost","dccs",7.59347,5,2.85663
299,16779,"PUF18","dccs",7.60837,5,2.60837,1041,"FA18UCpost","dccs",7.33842,4,2.86473
298,16780,"PUF18","dccs",6.71937,4,2.61681,1040,"FA18UCpost","dccs",7.83783,5,2.83783
297,16781,"PUF18","dccs",2.4359,2,1.95737,1039,"FA18UCpost","dccs",3.78378,4,2.80071
296,16782,"PUF18","dccs",2.5641,3,2.44727,1038,"FA18UCpost","dccs",3.84615,4,2.63988
295,16783,"PUF18","dccs",7.66071,5,3.04532,1037,"FA18UCpost","dccs",6.79107,5,2.17568
294,16784,"PUF18","dccs",7.18678,5,2.57139,1036,"FA18UCpost","dccs",6.71863,4,2.48786
293,16785,"PUF18","dccs",8.07895,5,3.20715,1035,"FA18UCpost","dccs",7.65762,5,2.91403
292,16786,"PUF18","dccs",8.17601,5,3.43242,1034,"FA18UCpost","dccs",7.99443,5,2.99443
291,16787,"PUF18","dccs",7.33103,5,2.71564,1033,"FA18UCpost","dccs",7.81659,4,3.32941
289,16789,"PUF18","dccs",7.58039,4,3.34962,1032,"FA18UCpost","dccs",6.55237,4,2.06519
288,16790,"PUF18","dccs",8.32773,5,3.32773,1031,"FA18UCpost","dccs",7.33735,5,2.72197
287,16791,"PUF18","dccs",7.46936,5,2.59757,1030,"FA18UCpost","dccs",5.92013,4,1.68936
286,16792,"PUF18","dccs",7.03822,5,2.42284,1029,"FA18UCpost","dccs",5,5,0
286,16792,"PUF18","dccs",7.03822,5,2.42284,1028,"FA18UCpost","dccs",7.65719,4,3.18351
284,16795,"PUF18","dccs",7.80809,5,2.9363,1027,"FA18UCpost","dccs",8.17809,5,3.58349
283,16796,"PUF18","dccs",7.5447,5,2.92931,1026,"FA18UCpost","dccs",3.33333,3,1.79098
282,16797,"PUF18","dccs",4.69909,4,0.468325,1025,"FA18UCpost","dccs",6.67879,5,1.9352
280,16799,"PUF18","dccs",6.96928,4,2.73851,1024,"FA18UCpost","dccs",6.78459,4,2.3109
279,16800,"PUF18","dccs",9.45189,5,4.5801,1023,"FA18UCpost","dccs",3.58974,4,2.27656
278,16801,"PUF18","dccs",7.52809,4,3.04092,1022,"FA18UCpost","dccs",8.39609,5,3.52767
277,16802,"PUF18","dccs",7.55484,5,2.81125,1021,"FA18UCpost","dccs",3.71795,4,2.47199
276,16803,"PUF18","dccs",7.53774,5,2.92235,1020,"FA18UCpost","dccs",7.66298,5,3.03798
275,16804,"PUF18","dccs",7.19321,5,2.32142,1019,"FA18UCpost","dccs",7.35538,5,2.6411
274,16805,"PUF18","dccs",7.70033,5,2.95033,1018,"FA18UCpost","dccs",7.65483,5,3.03945
272,16807,"PUF18","dccs",7.60838,5,2.993,1017,"FA18UCpost","dccs",8.01672,5,3.27313
271,16808,"PUF18","dccs",6.52495,4,2.29418,1016,"FA18UCpost","dccs",2.82051,3,1.91325
270,16809,"PUF18","dccs",7.72959,5,2.72959,1015,"FA18UCpost","dccs",6.55641,4,2.32564
269,16810,"PUF18","dccs",7.38964,4,3.03066,1014,"FA18UCpost","dccs",7.80064,4,3.34118
268,16811,"PUF18","dccs",5.87744,4,1.39026,1013,"FA18UCpost","dccs",7.46973,5,2.46973
267,16812,"PUF18","dccs",7.52388,5,2.90849,1012,"FA18UCpost","dccs",7.7407,5,3.13544
266,16813,"PUF18","dccs",8.03807,5,3.29448,1011,"FA18UCpost","dccs",5,5,0
266,16813,"PUF18","dccs",8.03807,5,3.29448,1010,"FA18UCpost","dccs",3.75,4,3.73978
265,16814,"PUF18","dccs",8.83365,5,4.21826,1009,"FA18UCpost","dccs",8.85917,5,4.2539
264,16815,"PUF18","dccs",7.86092,5,3.24553,1008,"FA18UCpost","dccs",3.75,4,0.215158
263,16816,"PUF18","dccs",7.96772,5,3.09593,1007,"FA18UCpost","dccs",5,5,0
263,16816,"PUF18","dccs",7.96772,5,3.09593,1006,"FA18UCpost","dccs",7.00484,4,2.51766
263,16816,"PUF18","dccs",7.96772,5,3.09593,1005,"FA18UCpost","dccs",9.08128,5,4.08128
262,16817,"PUF18","dccs",3.07692,3,2.16683,1004,"FA18UCpost","dccs",7.49748,5,2.75389
261,16818,"PUF18","dccs",7.04375,5,2.42837,1003,"FA18UCpost","dccs",7.63744,5,2.63744
259,16820,"PUF18","dccs",8.20624,5,3.33444,1002,"FA18UCpost","dccs",8.9121,5,4.04368
258,16821,"PUF18","dccs",8.01514,4,3.91258,1001,"FA18UCpost","dccs",0,4,0
257,16822,"PUF18","dccs",3.97436,4,4.90096,1000,"FA18UCpost","dccs",7.59334,5,2.99875
256,16823,"PUF18","dccs",8.85843,5,3.85843,999,"FA18UCpost","dccs",5,5,0
255,16824,"PUF18","dccs",7.13292,5,2.26113,998,"FA18UCpost","dccs",7.45381,5,2.84855
254,16825,"PUF18","dccs",2.05128,2,2.83382,997,"FA18UCpost","dccs",7.35485,4,2.99587
253,16826,"PUF18","dccs",8.36495,4,3.87777,996,"FA18UCpost","dccs",8.33781,5,3.33781
252,16827,"PUF18","dccs",3.75,4,0.606912,995,"FA18UCpost","dccs",5.61061,4,1.50805
250,16829,"PUF18","dccs",8.52239,4,4.16341,994,"FA18UCpost","dccs",7.67399,5,3.05861
249,16830,"PUF18","dccs",8.11533,5,3.37174,993,"FA18UCpost","dccs",7.86092,5,3.24553
248,16831,"PUF18","dccs",7.89662,5,3.02482,992,"FA18UCpost","dccs",9.22013,5,4.34833
247,16832,"PUF18","dccs",8.03812,5,3.16633,991,"FA18UCpost","dccs",8.32187,5,3.45008
246,16833,"PUF18","dccs",8.21211,5,3.59673,990,"FA18UCpost","dccs",7.65974,4,3.17256
245,16834,"PUF18","dccs",7.75284,5,2.88104,989,"FA18UCpost","dccs",6.84944,5,2.10585
244,16835,"PUF18","dccs",6.51992,5,1.90453,988,"FA18UCpost","dccs",5.59645,4,1.36569
243,16836,"PUF18","dccs",7.33877,5,2.59518,987,"FA18UCpost","dccs",8.61961,5,3.61961
241,16838,"PUF18","dccs",6.43138,4,2.32881,986,"FA18UCpost","dccs",7.75294,5,3.0161
240,16839,"PUF18","dccs",6.26106,5,1.64568,985,"FA18UCpost","dccs",6.37784,4,1.89066
239,16840,"PUF18","dccs",8.20968,5,3.46609,984,"FA18UCpost","dccs",8.02819,5,3.2846
238,16841,"PUF18","dccs",8.38926,4,4.15849,983,"FA18UCpost","dccs",5.25734,4,1.04682
237,16842,"PUF18","dccs",2.4359,2,2.71944,982,"FA18UCpost","dccs",3.94737,4,3.36832
236,16843,"PUF18","dccs",8.9144,5,4.17081,981,"FA18UCpost","dccs",8.26498,5,3.26498
235,16844,"PUF18","dccs",8.11749,5,3.5021,980,"FA18UCpost","dccs",8.15968,5,3.28789
234,16845,"PUF18","dccs",7.56521,4,3.33444,979,"FA18UCpost","dccs",7.0024,5,2.0024
233,16846,"PUF18","dccs",7.07982,5,2.33623,978,"FA18UCpost","dccs",7.53746,5,2.66566
232,16847,"PUF18","dccs",0,4,0,977,"FA18UCpost","dccs",3.58974,4,0
231,16848,"PUF18","dccs",7.33027,5,2.45847,976,"FA18UCpost","dccs",8.03812,5,3.16633
230,16850,"PUF18","dccs",6.57337,4,2.34261,975,"FA18UCpost","dccs",6.65009,4,2.16291
229,16851,"PUF18","dccs",2.05128,2,3.63692,974,"FA18UCpost","dccs",2.17949,2,3.70562
228,16852,"PUF18","dccs",5.36113,4,0.873952,973,"FA18UCpost","dccs",5.88418,4,1.65342
227,16852,"PUF18","dccs",8.21146,5,3.46787,973,"FA18UCpost","dccs",5.88418,4,1.65342
226,16853,"PUF18","dccs",3.97436,4,4.14869,972,"FA18UCpost","dccs",6.53748,4,2.30671
225,16854,"PUF18","dccs",8.78727,5,4.04368,971,"FA18UCpost","dccs",3.20513,3,5
224,16855,"PUF18","dccs",7.15352,5,2.28173,970,"FA18UCpost","dccs",7.49506,5,2.87968
223,16856,"PUF18","dccs",2.4359,2,3.45362,969,"FA18UCpost","dccs",3.97436,4,3.2715
222,16857,"PUF18","dccs",5,5,0,968,"FA18UCpost","dccs",8.51397,5,3.77038
221,16858,"PUF18","dccs",6.18846,4,2.0859,967,"FA18UCpost","dccs",6.42768,4,1.9405
220,16859,"PUF18","dccs",7.02229,4,2.79152,966,"FA18UCpost","dccs",8.07132,5,3.32773
219,16860,"PUF18","dccs",3.97436,4,2.75647,964,"FA18UCpost","dccs",8.22466,5,3.22466
218,16861,"PUF18","dccs",8.35301,5,3.35301,965,"FA18UCpost","dccs",6.00775,4,1.64877
218,16861,"PUF18","dccs",8.35301,5,3.35301,963,"FA18UCpost","dccs",6.00775,4,1.64877
217,16862,"PUF18","dccs",8.41738,4,3.9302,962,"FA18UCpost","dccs",7.10866,5,2.36507
216,16863,"PUF18","dccs",3.84615,4,2.95597,961,"FA18UCpost","dccs",6.84758,4,2.61681
215,16864,"PUF18","dccs",8.63602,5,3.76423,960,"FA18UCpost","dccs",8.40019,5,3.78481
214,16865,"PUF18","dccs",7.27023,4,2.91126,959,"FA18UCpost","dccs",3.94737,4,4.43028
213,16866,"PUF18","dccs",6.63127,4,2.38127,958,"FA18UCpost","dccs",6.84399,5,1.96899
212,16867,"PUF18","dccs",7.4681,5,2.72451,957,"FA18UCpost","dccs",8.05131,5,3.30772
211,16868,"PUF18","dccs",6.79757,5,2.05398,956,"FA18UCpost","dccs",7.41668,5,2.67309
210,16870,"PUF18","dccs",6.6815,5,1.6815,955,"FA18UCpost","dccs",6.054,4,1.56682
209,16871,"PUF18","dccs",8.81396,5,3.81396,954,"FA18UCpost","dccs",7.58677,5,2.84318
208,16872,"PUF18","dccs",7.35542,5,2.35542,953,"FA18UCpost","dccs",7.24673,5,2.63135
207,16873,"PUF18","dccs",7.46301,4,2.97583,952,"FA18UCpost","dccs",7.94125,5,3.19766
206,16874,"PUF18","dccs",7.35456,4,3.25199,951,"FA18UCpost","dccs",7.8368,4,3.34962
205,16875,"PUF18","dccs",7.93726,4,3.45008,950,"FA18UCpost","dccs",7.82051,5,2.82051
204,16876,"PUF18","dccs",3.46154,3,2.81521,949,"FA18UCpost","dccs",6.55446,4,2.19549
203,16877,"PUF18","dccs",7.73851,5,2.73851,948,"FA18UCpost","dccs",7.51045,5,2.63866
